CONTRACT_ID,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",,,,HD2: Managing Chronic (Long Term) Conditions,,,,,,,,,,,,HD3: Member Experience with Health Plan,,,,,,HD4: Member Complaints and Changes in the Health Plan's Performance,,,HD5: Health Plan Customer Service,,,DD1: Drug Plan Customer Service,DD2: Member Complaints and Changes in the Drug Plan’s Performance,,,DD3: Member Experience with the Drug Plan,,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,
,,,,,C01: Breast Cancer Screening,C02: Colorectal Cancer Screening,C03: Annual Flu Vaccine,C04: Monitoring Physical Activity,C05: Special Needs Plan (SNP) Care Management,C06: Care for Older Adults – Medication Review,C07: Care for Older Adults – Pain Assessment,C08: Osteoporosis Management in Women who had a Fracture,C09: Diabetes Care – Eye Exam,C10: Diabetes Care – Kidney Disease Monitoring,C11: Diabetes Care – Blood Sugar Controlled,C12: Controlling Blood Pressure,C13: Reducing the Risk of Falling,C14: Improving Bladder Control,C15: Medication Reconciliation Post-Discharge,C16: Statin Therapy for Patients with Cardiovascular Disease,C17: Getting Needed Care,C18: Getting Appointments and Care Quickly,C19: Customer Service,C20: Rating of Health Care Quality,C21: Rating of Health Plan,C22: Care Coordination,C23: Complaints about the Health Plan,C24: Members Choosing to Leave the Plan,C25: Health Plan Quality Improvement,C26: Plan Makes Timely Decisions about Appeals,C27: Reviewing Appeals Decisions,C28: Call Center – Foreign Language Interpreter and TTY Availability,D01: Call Center – Foreign Language Interpreter and TTY Availability,D02: Complaints about the Drug Plan,D03: Members Choosing to Leave the Plan,D04: Drug Plan Quality Improvement,D05: Rating of Drug Plan,D06: Getting Needed Prescription Drugs,D07: MPF Price Accuracy,D08: Medication Adherence for Diabetes Medications,D09: Medication Adherence for Hypertension (RAS antagonists),D10: Medication Adherence for Cholesterol (Statins),D11: MTM Program Completion Rate for CMR,D12: Statin Use in Persons with Diabetes (SUPD)
,,,,,01/01/2021 – 12/31/2021,01/01/2021 – 12/31/2021,03/2022 – 06/2022,07/19/2021 – 11/01/2021,01/01/2021 – 12/31/2021,01/01/2021 – 12/31/2021,01/01/2021 – 12/31/2021,01/01/2021 – 12/31/2021,01/01/2021 – 12/31/2021,01/01/2021 – 12/31/2021,01/01/2021 – 12/31/2021,01/01/2021 – 12/31/2021,07/19/2021 – 11/01/2021,07/19/2021 – 11/01/2021,01/01/2021 – 12/31/2021,01/01/2021 – 12/31/2021,03/2022 – 06/2022,03/2022 – 06/2022,03/2022 – 06/2022,03/2022 – 06/2022,03/2022 – 06/2022,03/2022 – 06/2022,01/01/2021 – 12/31/2021,01/01/2021 – 12/31/2021,Not Applicable,01/01/2021 – 12/31/2021,01/01/2021 – 12/31/2021,02/2022 – 05/2022,02/2022 – 05/2022,01/01/2021 – 12/31/2021,01/01/2021 – 12/31/2021,Not Applicable,03/2022 – 06/2022,03/2022 – 06/2022,01/01/2021 – 9/30/2021,01/01/2021 – 12/31/2021,01/01/2021 – 12/31/2021,01/01/2021 – 12/31/2021,01/01/2021 – 12/31/2021,01/01/2021 – 12/31/2021
H0088 ,Local CCP ,"WELLCARE HEALTH INSURANCE OF NEW YORK, INC. ",Wellcare ,Centene Corporation ,Not enough data available ,54%,Plan too small to be measured ,43%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Not enough data available ,No data available ,No data available ,No data available ,53%,Not enough data available ,Not enough data available ,35%,Not enough data available ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Not enough data available ,41%,Not enough data available ,Not enough data available ,Not enough data available ,73%,78%,Not enough data available ,41%,Not enough data available ,Plan too small to be measured ,Plan too small to be measured ,92,81%,84%,81%,Not enough data available ,77%
H0104 ,Local CCP ,BLUE CROSS AND BLUE SHIELD OF ALABAMA ,Blue Cross and Blue Shield of Alabama ,BlueCross BlueShield of Alabama ,73%,75%,70%,49%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,31%,71%,95%,86%,71%,46%,45%,87%,80%,86,77,93,89,91,87,0.05,5%,Medicare shows only a Star Rating for this topic ,99%,99%,95%,97%,0.05,5%,Medicare shows only a Star Rating for this topic ,87,92,96,83%,88%,85%,77%,81%
H0107 ,Local CCP ,HEALTH CARE SERVICE CORPORATION ,Blue Cross and Blue Shield of Montana ,Health Care Service Corporation ,73%,82%,77%,49%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,29%,68%,95%,82%,65%,44%,42%,70%,83%,83,79,91,87,86,88,0.03,5%,Medicare shows only a Star Rating for this topic ,98%,76%,95%,92%,0.03,5%,Medicare shows only a Star Rating for this topic ,84,90,97,86%,89%,87%,91%,83%
H0111 ,Local CCP ,"WELLCARE OF GEORGIA, INC. ",Wellcare ,Centene Corporation ,70%,68%,70%,54%,74%,82%,85%,Not enough data available ,60%,95%,60%,59%,51%,42%,44%,81%,82,75,87,86,86,85,0.9,39%,Medicare shows only a Star Rating for this topic ,48%,89%,73%,78%,0.9,39%,Medicare shows only a Star Rating for this topic ,88,91,91,82%,85%,83%,85%,82%
H0137 ,Demo ,"COMMONWEALTH CARE ALLIANCE, INC. ",Commonwealth Care Alliance Massachusetts ,"Commonwealth Care Alliance, Inc. ",No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available
H0154 ,Local CCP ,"VIVA HEALTH, INC. ",VIVA Medicare ,"Triton Health Systems, L.L.C. ",76%,78%,68%,49%,87%,97%,96%,58%,87%,97%,85%,82%,53%,51%,84%,81%,85,77,93,88,92,86,0.07,8%,Medicare shows only a Star Rating for this topic ,98%,97%,92%,95%,0.07,8%,Medicare shows only a Star Rating for this topic ,90,93,87,85%,88%,87%,87%,84%
H0169 ,Local CCP ,"UNITEDHEALTHCARE OF THE MIDWEST, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",71%,79%,70%,47%,86%,96%,97%,65%,80%,97%,80%,83%,65%,54%,65%,86%,83,78,91,86,90,86,0.16,18%,Medicare shows only a Star Rating for this topic ,100%,97%,Not enough data available ,Not enough data available ,0.16,18%,Medicare shows only a Star Rating for this topic ,90,92,98,88%,88%,89%,88%,85%
H0174 ,Local CCP ,"WELLCARE OF TEXAS, INC. ",Wellcare ,Centene Corporation ,67%,65%,70%,54%,64%,83%,88%,35%,73%,96%,72%,64%,62%,Not enough data available ,48%,84%,79,72,88,84,86,83,0.34,22%,Medicare shows only a Star Rating for this topic ,96%,97%,71%,76%,0.34,22%,Medicare shows only a Star Rating for this topic ,86,87,93,83%,83%,80%,89%,89%
H0192 ,Demo ,"AMERIHEALTH MICHIGAN, INC. ",AmeriHealth Caritas VIP Care Plus ,"Independence Health Group, Inc. ",No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available
H0251 ,Local CCP ,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",64%,73%,62%,43%,76%,95%,97%,34%,80%,96%,77%,76%,60%,Not enough data available ,61%,84%,83,78,92,87,92,85,0.13,10%,Medicare shows only a Star Rating for this topic ,98%,96%,100%,98%,0.13,10%,Medicare shows only a Star Rating for this topic ,92,93,99,83%,83%,82%,87%,84%
