contract_id,contract_name,parent_organization,organization_marketing_name,pp1_stars_year,scenario,measure_code,measure,measure_weight,measure_pp1_score,from_star,to_star,moved_measures,hos_measure_count,hos_total_weight,hos_base_mean,overall_measure_count,overall_total_weight,base_mean,weighted_variance,mean_category,variance_category,mean_p65,mean_p85,variance_p30,variance_p70,reward_factor,cai,final_score,rounded_overall,hos_base_mean_delta,base_mean_delta,variance_delta,reward_factor_delta,final_score_delta,rounded_overall_delta,part_c_base_mean,notes
H3668,"MOUNT CARMEL HEALTH PLAN, INC.",Trinity Health Corporation,MediGold,2027,current_pp1,,,,,,,none,5,9,1.666667,38,68,3.735294,1.347751,relatively_high,high,3.691,3.969,0.916,1.319,0.0,-0.069659,3.665635,3.5,0.0,0.0,0.0,0.0,0.0,0.0,3.673469,Current PP1 HOS stars. Variance just above P70 so no reward factor.
H3668,"MOUNT CARMEL HEALTH PLAN, INC.",Trinity Health Corporation,MediGold,2027,c04_plus_1,C04,Improving or Maintaining Physical Health,3,68,2,3,C04 2->3,5,9,2.0,38,68,3.779412,1.23381,relatively_high,medium,3.691,3.969,0.916,1.319,0.1,-0.069659,3.809753,4.0,0.333333,0.044118,-0.113941,0.1,0.144118,0.5,3.734694,"C04 Improving or Maintaining Physical Health from 2 to 3. Variance falls to 1.234 (medium), unlocking +0.1 reward factor. Rounded Overall 3.5 to 4."
H3668,"MOUNT CARMEL HEALTH PLAN, INC.",Trinity Health Corporation,MediGold,2027,c05_plus_1,C05,Improving or Maintaining Mental Health,3,82,1,2,C05 1->2,5,9,2.0,38,68,3.779412,1.143189,relatively_high,medium,3.691,3.969,0.916,1.319,0.1,-0.069659,3.809753,4.0,0.333333,0.044118,-0.204561,0.1,0.144118,0.5,3.734694,"C05 Improving or Maintaining Mental Health from 1 to 2. Variance falls to 1.143 (medium), unlocking +0.1 reward factor. Rounded Overall 3.5 to 4."
H3668,"MOUNT CARMEL HEALTH PLAN, INC.",Trinity Health Corporation,MediGold,2027,c06_plus_1,C06,Monitoring Physical Activity,1,48,3,4,C06 3->4,5,9,1.777778,38,68,3.75,1.340421,relatively_high,high,3.691,3.969,0.916,1.319,0.0,-0.069659,3.680341,3.5,0.111111,0.014706,-0.00733,0.0,0.014706,0.0,3.693878,C06 Monitoring Physical Activity from 3 to 4. Variance 1.340 stays high; no reward factor. Mean-only final 3.680. Rounded Overall stays 3.5.
H3668,"MOUNT CARMEL HEALTH PLAN, INC.",Trinity Health Corporation,MediGold,2027,c15_plus_1,C15,Reducing the Risk of Falling,1,54,2,3,C15 2->3,5,9,1.777778,38,68,3.75,1.310215,relatively_high,medium,3.691,3.969,0.916,1.319,0.1,-0.069659,3.780341,4.0,0.111111,0.014706,-0.037536,0.1,0.114706,0.5,3.693878,"C15 Reducing the Risk of Falling from 2 to 3. Variance falls to 1.310 (medium), unlocking +0.1 reward factor. Rounded Overall 3.5 to 4."
H3668,"MOUNT CARMEL HEALTH PLAN, INC.",Trinity Health Corporation,MediGold,2027,c16_plus_1,C16,Improving Bladder Control,1,39,1,2,C16 1->2,5,9,1.777778,38,68,3.75,1.280008,relatively_high,medium,3.691,3.969,0.916,1.319,0.1,-0.069659,3.780341,4.0,0.111111,0.014706,-0.067743,0.1,0.114706,0.5,3.693878,"C16 Improving Bladder Control from 1 to 2. Variance falls to 1.280 (medium), unlocking +0.1 reward factor. Rounded Overall 3.5 to 4."
H3668,"MOUNT CARMEL HEALTH PLAN, INC.",Trinity Health Corporation,MediGold,2027,all_hos_plus_1,C04;C05;C06;C15;C16,All HOS,9,,,,C04 2->3; C05 1->2; C06 3->4; C15 2->3; C16 1->2,5,9,2.666667,38,68,3.867647,0.903313,relatively_high,low,3.691,3.969,0.916,1.319,0.2,-0.069659,3.997988,4.0,1.0,0.132353,-0.444438,0.2,0.332353,0.5,3.857143,"All five HOS measures moved up one star. Variance falls to 0.903 (low), unlocking +0.2 reward factor. Rounded Overall 3.5 to 4."
